선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,시즌,BABIP,ISO,wOBA,wRC+,OPS+,bWAR
이영빈,LG,0.5,6,4,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0.5,0.5,1.0,2026,,,,,,
오스틴,LG,0.373,15,69,59,16,22,3,0,5,40,11,0,1,9,0,0,7,1,0.678,0.449,1.127,2026,0.354,0.305,0.47,199.9,191.8,1.31
천성호,LG,0.359,14,46,39,8,14,3,0,1,20,5,1,0,5,0,1,7,2,0.513,0.444,0.957,2026,0.419,0.154,0.416,162.2,152.1,0.66
문성주,LG,0.346,15,60,52,4,18,2,0,0,20,6,0,1,5,1,2,6,0,0.385,0.417,0.802,2026,0.383,0.039,0.352,117.6,114.5,0.52
오지환,LG,0.286,14,54,49,6,14,3,0,1,20,12,0,1,3,0,1,7,0,0.408,0.333,0.741,2026,0.31,0.122,0.322,96.6,95.6,0.33
박해민,LG,0.283,15,61,53,4,15,4,0,0,19,6,2,1,3,0,2,7,0,0.358,0.339,0.697,2026,0.319,0.075,0.308,86.9,85.8,0.3
문보경,LG,0.25,14,61,44,5,11,2,0,1,16,8,0,2,14,1,1,11,1,0.364,0.426,0.79,2026,0.294,0.114,0.354,119.0,112.3,0.54
박동원,LG,0.205,14,54,39,8,8,2,0,1,13,9,0,2,12,0,1,12,1,0.333,0.389,0.722,2026,0.25,0.128,0.332,103.6,94.4,0.38
이주헌,LG,0.2,8,10,10,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0.4,2026,,,,,,
최원영,LG,0.2,10,5,5,5,1,1,0,0,2,1,0,0,0,0,0,1,0,0.4,0.2,0.6,2026,,,,,,
신민재,LG,0.173,15,60,52,3,9,0,0,0,9,3,2,0,6,0,0,14,2,0.173,0.259,0.432,2026,0.237,0.0,0.208,17.1,19.7,-0.22
구본혁,LG,0.167,15,28,24,2,4,0,0,0,4,3,2,0,2,0,0,5,0,0.167,0.231,0.398,2026,0.211,0.0,0.188,3.2,10.2,-0.15
홍창기,LG,0.157,15,65,51,6,8,2,0,0,10,3,0,0,12,0,2,14,0,0.196,0.338,0.534,2026,0.216,0.039,0.269,59.7,47.8,0.1
이재원,LG,0.071,11,17,14,0,1,0,0,0,1,1,0,0,2,0,1,9,0,0.071,0.235,0.306,2026,,,,,,
송찬의,LG,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2026,,,,,,
허경민,KT,0.522,7,26,23,7,12,2,0,1,17,4,1,0,1,0,1,2,0,0.739,0.56,1.299,2026,0.55,0.217,0.554,279.8,257.7,0.69
이정훈,KT,0.5,7,13,10,2,5,0,0,0,5,2,0,0,3,0,0,0,0,0.5,0.615,1.115,2026,,,,,,
권동진,KT,0.4,9,7,5,6,2,0,1,0,4,3,0,0,2,0,0,1,0,0.8,0.571,1.371,2026,,,,,,
안현민,KT,0.365,14,67,52,14,19,4,1,3,34,11,0,0,12,0,3,16,1,0.654,0.507,1.161,2026,0.485,0.289,0.489,230.7,219.7,1.41
오윤석,KT,0.353,12,36,34,7,12,4,0,0,16,7,0,0,2,0,0,7,1,0.471,0.389,0.86,2026,0.444,0.118,0.372,142.4,136.9,0.39
김현수,KT,0.308,15,72,65,9,20,5,0,2,31,16,0,0,7,0,0,9,3,0.477,0.375,0.852,2026,0.333,0.169,0.369,140.1,134.0,0.77
류현인,KT,0.297,14,39,37,6,11,2,0,0,13,4,0,0,1,0,1,5,0,0.351,0.333,0.684,2026,0.344,0.054,0.303,90.3,89.2,0.19
장성우,KT,0.283,15,62,53,11,15,3,0,5,33,16,0,1,8,0,0,15,2,0.623,0.371,0.994,2026,0.294,0.34,0.413,173.3,169.5,0.9
